datetime,Electricity_HH1
2021-08-01 00:00:00,0.0027047164203539815
2021-08-01 00:01:00,0.0028859137468346804
2021-08-01 00:02:00,0.0027553964928912476
2021-08-01 00:03:00,0.002968944995699653
2021-08-01 00:04:00,0.0028488762074446263
2021-08-01 00:05:00,0.0027471628084112373
2021-08-01 00:06:00,0.0027428331260385746
2021-08-01 00:07:00,0.0029399038857021837
2021-08-01 00:08:00,0.0027727401679503248
2021-08-01 00:09:00,0.004350226388930665
2021-08-01 00:10:00,0.004451323963416167
2021-08-01 00:11:00,0.0042635521022983645
2021-08-01 00:12:00,0.004213240833447485
2021-08-01 00:13:00,0.00435113464586159
2021-08-01 00:14:00,0.004252058498576424
2021-08-01 00:15:00,0.004488633225082288
2021-08-01 00:16:00,0.00436295923017124
2021-08-01 00:17:00,0.004008797333534549
2021-08-01 00:18:00,0.004497693237577227
2021-08-01 00:19:00,0.0045522127198276904
2021-08-01 00:20:00,0.004437477319341555
2021-08-01 00:21:00,0.004599614264071262
2021-08-01 00:22:00,0.0035263747000624456
2021-08-01 00:23:00,0.0029647086657376763
2021-08-01 00:24:00,0.003273002542115695
2021-08-01 00:25:00,0.0032490279113624944
2021-08-01 00:26:00,0.003141805090038497
2021-08-01 00:27:00,0.0028387042713657732
2021-08-01 00:28:00,0.0030166190786516454
2021-08-01 00:29:00,0.002956242216455425
2021-08-01 00:30:00,0.0032132407340522365
2021-08-01 00:31:00,0.003009737321397687
2021-08-01 00:32:00,0.003285079288244005
2021-08-01 00:33:00,0.0031318971938594474
2021-08-01 00:34:00,0.0032342854279620264
2021-08-01 00:35:00,0.0031978332761969175
2021-08-01 00:36:00,0.0032572154199920354
2021-08-01 00:37:00,0.003550887464512573
2021-08-01 00:38:00,0.0034542625711066186
2021-08-01 00:39:00,0.002973785586914549
2021-08-01 00:40:00,0.0032015519927274193
2021-08-01 00:41:00,0.003607747507351576
2021-08-01 00:42:00,0.002913816615488402
2021-08-01 00:43:00,0.0031719649853980806
2021-08-01 00:44:00,0.003298323339186115
2021-08-01 00:45:00,0.002840495047110448
2021-08-01 00:46:00,0.0028889838798461095
2021-08-01 00:47:00,0.003339798830652474
2021-08-01 00:48:00,0.0029830939669299476
2021-08-01 00:49:00,0.0034710844606532275
2021-08-01 00:50:00,0.0031340239667313635
2021-08-01 00:51:00,0.003209201624761183
2021-08-01 00:52:00,0.0032925859747259052
2021-08-01 00:53:00,0.002937401241921015
2021-08-01 00:54:00,0.0030388585213652762
2021-08-01 00:55:00,0.0033674428567481308
2021-08-01 00:56:00,0.0033705013063831213
2021-08-01 00:57:00,0.002972385453934039
2021-08-01 00:58:00,0.0033358373222285797
2021-08-01 00:59:00,0.003252706654340336
2021-08-01 01:00:00,0.0032371753839443153
2021-08-01 01:01:00,0.0018538901615623726
2021-08-01 01:02:00,0.00167075718418867
2021-08-01 01:03:00,0.0015702604918538504
2021-08-01 01:04:00,0.0017638604061563962
2021-08-01 01:05:00,0.0016923604813328039
2021-08-01 01:06:00,0.0016632944405152175
2021-08-01 01:07:00,0.0018156445742281088
2021-08-01 01:08:00,0.0016486667714052754
2021-08-01 01:09:00,0.0017562904421464865
2021-08-01 01:10:00,0.0017575029546685519
2021-08-01 01:11:00,0.0016799530313213133
2021-08-01 01:12:00,0.001738061887326456
2021-08-01 01:13:00,0.001704958066218851
2021-08-01 01:14:00,0.0016896275456755878
2021-08-01 01:15:00,0.0016960319918742286
2021-08-01 01:16:00,0.001616786201381106
2021-08-01 01:17:00,0.001664497768683106
2021-08-01 01:18:00,0.0018029381347246373
2021-08-01 01:19:00,0.0017077706198461117
2021-08-01 01:20:00,0.0016602683422161585
2021-08-01 01:21:00,0.001641848989206277
2021-08-01 01:22:00,0.0019419560693459902
2021-08-01 01:23:00,0.001744886374599148
2021-08-01 01:24:00,0.0017255387128313295
2021-08-01 01:25:00,0.0016598430330217763
2021-08-01 01:26:00,0.0017795547394474007
2021-08-01 01:27:00,0.0017579834042592882
2021-08-01 01:28:00,0.0015880438612731833
2021-08-01 01:29:00,0.0017036871617128995
2021-08-01 01:30:00,0.0016495930543890635
2021-08-01 01:31:00,0.0016459487774275173
2021-08-01 01:32:00,0.001668569747861674
2021-08-01 01:33:00,0.0017084379191201408
2021-08-01 01:34:00,0.001634824887968004
2021-08-01 01:35:00,0.001586829358371942
2021-08-01 01:36:00,0.0015386480813808503
2021-08-01 01:37:00,0.0014902571911400609
2021-08-01 01:38:00,0.0017055832609371383
2021-08-01 01:39:00,0.001718131522037834
2021-08-01 01:40:00,0.0017366315539034023
2021-08-01 01:41:00,0.0016360342827311716
2021-08-01 01:42:00,0.0016722441289449617
2021-08-01 01:43:00,0.00167714025863965
2021-08-01 01:44:00,0.0016377353843153213
2021-08-01 01:45:00,0.0016842252303517586
2021-08-01 01:46:00,0.001711100684824789
2021-08-01 01:47:00,0.0016447813831708539
2021-08-01 01:48:00,0.0017280874810654875
2021-08-01 01:49:00,0.0017919470225600637
2021-08-01 01:50:00,0.0017094632273524405
2021-08-01 01:51:00,0.00168284965670089
2021-08-01 01:52:00,0.001658101754710099
2021-08-01 01:53:00,0.001799085922309128
2021-08-01 01:54:00,0.0017262253451965877
2021-08-01 01:55:00,0.0016572182797801982
2021-08-01 01:56:00,0.0017322250466487094
2021-08-01 01:57:00,0.00169607306345249
2021-08-01 01:58:00,0.001626721522452303
2021-08-01 01:59:00,0.0017961488844953004
2021-08-01 02:00:00,0.0016950605821725727
2021-08-01 02:01:00,0.0017942020838726724
2021-08-01 02:02:00,0.0016442060173810671
